Method,Essay A ID,Essay B ID,Time Taken,Similarity Score
SMPC,000d118,000fe60,1.0740005997940898,0.0
SMPC,000d118,001ab80,0.03841520007699728,0.15384615384615385
SMPC,000d118,001bdc0,0.03406730014830828,0.0
SMPC,000d118,002ba53,0.015190400183200836,0.0
SMPC,000d118,002ba52,0.005019799806177616,0.0
SMPC,000fe60,001ab80,0.004360100254416466,0.0
SMPC,000fe60,001bdc0,0.003787399735301733,0.0
SMPC,000fe60,002ba53,0.0036354996263980865,0.0
SMPC,000fe60,002ba52,0.00428679957985878,0.0
SMPC,001ab80,001bdc0,0.0056443000212311745,0.0
SMPC,001ab80,002ba53,0.005290300119668245,0.0
SMPC,001ab80,002ba52,0.005981199909001589,0.0
SMPC,001bdc0,002ba53,0.0041959998197853565,0.0
SMPC,001bdc0,002ba52,0.010954300407320261,0.3076923076923077
SMPC,002ba53,002ba52,0.009387500118464231,1.0
Cosine,000d118,000fe60,0.004280500113964081,0.6589538065270341
Cosine,000d118,001ab80,0.005564900115132332,0.7292859152446163
Cosine,000d118,001bdc0,0.004752700217068195,0.6332076410600216
Cosine,000d118,002ba53,0.003930400125682354,0.5855581662939096
Cosine,000d118,002ba52,0.005378600209951401,0.6135728146497588
Cosine,000fe60,001ab80,0.0044061001390218735,0.6092505019420668
Cosine,000fe60,001bdc0,0.003338700160384178,0.5977428783235551
Cosine,000fe60,002ba53,0.0023047002032399178,0.5108738012158343
Cosine,000fe60,002ba52,0.0036593000404536724,0.5666437000255373
Cosine,001ab80,001bdc0,0.005204000044614077,0.632137532990348
Cosine,001ab80,002ba53,0.003987499978393316,0.6260024885648884
Cosine,001ab80,002ba52,0.00553049985319376,0.6673468197146131
Cosine,001bdc0,002ba53,0.0035298997536301613,0.66223516278122
Cosine,001bdc0,002ba52,0.008078500162810087,0.8590747559232205
Cosine,002ba53,002ba52,0.003605599980801344,0.8781083913154017
Fingerprint,000d118,000fe60,0.00672800000756979,0.1360381861575179
Fingerprint,000d118,001ab80,0.007431900128722191,0.16998191681735986
Fingerprint,000d118,001bdc0,0.005984799936413765,0.13095238095238096
Fingerprint,000d118,002ba53,0.005344199948012829,0.12631578947368421
Fingerprint,000d118,002ba52,0.006657199934124947,0.12291666666666666
Fingerprint,000fe60,001ab80,0.005125999916344881,0.168141592920354
Fingerprint,000fe60,001bdc0,0.004953899886459112,0.13895781637717122
Fingerprint,000fe60,002ba53,0.004470200277864933,0.12863705972434916
Fingerprint,000fe60,002ba52,0.005692100152373314,0.14775725593667546
Fingerprint,001ab80,001bdc0,0.006527899764478207,0.14711359404096835
Fingerprint,001ab80,002ba53,0.0060106003656983376,0.16069489685124863
Fingerprint,001ab80,002ba52,0.007615099661052227,0.17348927875243664
Fingerprint,001bdc0,002ba53,0.005635000299662352,0.11907654921020656
Fingerprint,001bdc0,002ba52,0.011489999946206808,0.4956896551724138
Fingerprint,002ba53,002ba52,0.009042599704116583,0.6477419354838709
